Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1999-10-01,99.66805,streamflow,13237920,ft3/s,['A'],0
1999-10-02,99.020836,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-03,99.114586,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-04,98.4375,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-05,98.125,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-06,96.78125,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-07,102.572914,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-08,103.864586,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-09,100.5625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-10,99.1875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-11,102.229164,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-12,100.395836,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-13,98.625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-14,99.114586,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-15,98.5,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-16,98.041664,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-17,101.083336,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-18,103.833336,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-19,105.125,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-20,103.78125,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-21,102.729164,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-22,102.479164,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-23,101.875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-24,100.770836,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-25,100.21875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-26,100.5625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-27,101.020836,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-28,150.04167,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-29,209.69792,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-30,130.1875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-10-31,116.847824,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-01,110.65625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-02,106.895836,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-03,105.208336,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-04,105.260414,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-05,110.96875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-06,128.92708,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-07,117.864586,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-08,109.385414,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-09,106.15625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-10,104.541664,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-11,104.354164,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-12,105.479164,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-13,102.3125,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-14,100.979164,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-15,100.916664,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-16,100.375,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-17,103.197914,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-18,116.041664,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-19,102.604164,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-20,112.84375,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-21,126.875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-22,104.989586,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-23,86.28125,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-24,72.57143,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-25,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-26,463.61765,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-27,476.0,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-28,283.07144,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-29,184.91176,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-11-30,174.94792,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-01,187.21875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-02,186.6875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-03,164.0625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-04,118.895836,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-05,110.4375,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-06,150.39285,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-07,169.13235,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-08,171.41667,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-09,154.15625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-10,160.13542,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-11,162.65625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-12,162.36458,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-13,182.53125,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-14,163.6875,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-15,165.90625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-16,164.02083,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-17,170.65625,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-18,172.20833,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-19,170.44792,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-20,164.89285,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-21,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-22,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-23,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-24,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-25,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-26,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-27,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-28,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-29,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-30,,streamflow,13237920,ft3/s,"['A', '[91]']",0
1999-12-31,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-01,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-02,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-03,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-04,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-05,154.91176,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-06,151.10715,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-07,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-08,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-09,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-10,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-11,169.92647,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-12,199.14285,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-13,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-14,168.54546,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-15,182.45454,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-16,202.96,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-17,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-18,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-19,197.5303,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-20,199.17708,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-21,204.34375,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-22,199.89583,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-23,186.39583,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-24,182.26042,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-25,185.20833,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-26,187.08333,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-27,180.07143,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-28,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-29,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-30,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-01-31,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-01,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-02,189.16176,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-03,187.53125,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-04,174.79167,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-05,173.9375,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-06,174.03125,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-07,171.94792,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-08,175.67708,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-09,185.17708,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-10,198.86458,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-11,211.875,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-12,256.77084,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-13,262.97916,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-14,256.27658,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-15,295.75,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-16,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-17,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-18,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-19,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-20,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-21,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-22,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-23,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-24,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-25,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-26,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-27,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-28,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-02-29,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-01,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-02,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-03,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-04,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-05,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-06,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-07,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-08,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-09,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-10,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-11,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-12,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-13,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-14,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-15,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-16,,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-17,340.2353,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-18,315.8646,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-19,354.29166,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-20,336.5,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-21,312.3125,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-22,310.14584,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-23,370.3646,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-24,468.09375,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-25,440.625,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-26,435.59375,streamflow,13237920,ft3/s,"['A', '[91]']",0
2000-03-27,508.3229,streamflow,13237920,ft3/s,"['A', '[91]']",0
